index,code,category,name,weight_g,kcal,carb_g,sugar_g,fat_g,protein_g,sodium_mg
179,04019004,04,순두부찌개,400,198.46800000000002,8.78,0,14.032,14.716000000000001,1331.3120000000001
180,04019005,04,콩비지찌개,400,248.664,24.516000000000002,0,12.807999999999998,15.964,1206.328
181,04019006,04,햄김치찌개,300,190.4662,15.4367,0,10.6807,11.626099999999997,1527.8156999999999
182,04019007,04,호박찌개,300,98.30099999999999,12.735000000000001,2.064,2.3369999999999997,7.779000000000001,1028.145
183,04019008,04,고추장찌개,500,263.4432,20.083199999999998,0,12.345599999999997,25.617599999999996,935.1456000000001
184,05011001,05,대구찜,500,372.67999999999995,26.424999999999997,0,8.43,54.08000000000001,1888.04
185,05011002,05,도미찜,100,126.312,0.756,0,3.684,21.006,882.04
186,05011004,05,문어숙회,80,67.488,0.1824,0,0.7296,14.136000000000003,222.83200000000002
187,05011008,05,아귀찜,400,310.69599999999997,17.588,0,6.676000000000001,48.848,1463.3119999999997
188,05011010,05,조기찜,100,185.252,1.813,0.34079999999999994,9.195,22.271,631.892
189,05011011,05,참꼬막,80,89.76720000000002,4.920799999999999,1.5984,2.1712000000000002,12.983200000000004,400.228
190,05011012,05,해물찜,500,397.37499999999994,36.02,0,8.935,50.275000000000006,2213.4350000000004
191,05012001,05,소갈비찜,250,500.4525,11.310000000000002,0,29.165,42.545,768.4225000000001
192,05012002,05,돼지갈비찜,170.1,249.69900000000004,8.82,1.7639999999999998,14.418000000000001,20.564999999999998,946.677
193,05012003,05,돼지고기수육,300,1218.1855999999998,8.694199999999999,0,99.51639999999998,61.4684,389.5309
194,05012004,05,찜닭,1500,1358.384,140.6418,57.524,36.543800000000005,114.90200000000002,5290.091
195,05012005,05,족발,150,381.5719999999999,32.300000000000004,0,16.62,26.019999999999996,839.1449
196,05013001,05,달걀찜,250,190,4.8075,0,10.912500000000003,16.202499999999997,860.3175
197,06012001,06,닭갈비,300,562.104,24.543,3.513,28.887,52.29599999999999,975.549
198,06012002,06,닭꼬치,70,177.50529999999998,12.8982,8.582699999999999,7.895999999999999,12.348700000000001,287.26109999999994
199,06012003,06,돼지갈비,100,248.52420000000004,7.6005,5.0112000000000005,14.7006,19.947599999999998,344.8854
200,06012004,06,떡갈비,250,762.9875,26.6075,12.4875,51.575,43.085,838.8375
201,06012005,06,불고기,150,386.7908,13.054800000000002,1.0956000000000001,21.78,32.9032,632.5353999999998
202,06012006,06,소곱창구이,150,639.1095,6.507,0,51.708,35.616,332.71799999999996
203,06012007,06,소양념갈비구이,300,986.9166,27.74475,14.3075,66.4753,61.97065000000001,1272.3438500000002
204,06012008,06,소불고기,200,174.73349999999994,19.6327,9.490499999999999,4.6797,14.223399999999998,828.1510999999998
205,06012009,06,양념왕갈비,150,485.5065000000001,15.036,8.352,33.706500000000005,29.332500000000003,533.1929999999999
206,06012010,06,햄버거스테이크,200,436.75200000000007,21.35,0,28.052,24.924,920.262
207,06012011,06,훈제오리,250,789.9625,11.8275,6.245000000000001,64.6525,38.1575,1216.9750000000001
208,06012012,06,치킨데리야끼,340,692.5248,50.72960000000001,3.6409599999999998,32.192,47.340799999999994,865.9775999999999
209,06012013,06,치킨윙,100,219.419,9.965,2.4462,14.23,11.405,351.394
210,06013001,06,더덕구이,100,183.74,31.78,10.8475,5.621,5.802,745.78
211,06013002,06,양배추구이,100,60.933,7.621,0.8420000000000001,2.651,2.711,242.337
212,06013003,06,두부구이,100,90.671,1.527,0,6.267,9.411,164.39
213,06014001,06,삼치구이,200,355.7061000000001,8.475299999999999,0,18.008999999999997,37.827000000000005,797.7096000000003
214,07011001,07,가자미전,150,220.464,6.684,0,7.123499999999999,29.9715,814.374
215,07011002,07,굴전,100,192.81,13.922,0,9.067,12.563,331.021
216,07011003,07,동태전,150,265.2507,11.47718,0,16.14041,19.866989999999998,672.9765899999999
217,07011004,07,해물파전,150,267.23120000000006,27.676160000000003,0,12.56736,12.9352,356.42632000000003
218,07012001,07,동그랑땡,150,312.4125,14.705999999999998,0,18.723000000000006,19.674,579.8100000000001
219,07012002,07,햄부침,100,232.598,9.733,0,15.481,13.067,774.678
220,07012003,07,육전,100,197.098,6.724,0.299,9.514,19.582,248.684
221,07013001,07,감자전,200,366.15850000000006,53.811800000000005,0,13.613499999999998,9.6691,456.5301
222,07013002,07,고추전,150,261.44250000000005,17.7765,0.747,14.8605,13.937999999999999,359.8845
223,07013003,07,김치전,150,285.72799999999995,32.0688,0,12.4784,13.172799999999999,785.6
224,07013004,07,깻잎전,150,357.62250000000006,16.6515,0.747,24.6405,18.297,464.9355
225,07013005,07,녹두빈대떡,100,200.71,18.637,0,8.321,9.956,246.031
226,07013006,07,미나리전,150,215.8635,30.096,0,8.632499999999999,6.087000000000001,235.647
227,07013007,07,배추전,150,241.008,32.51200000000001,0,10.494400000000002,6.409600000000001,355.976
228,07013008,07,버섯전,150,239.68349999999995,18.6075,0.747,12.93,11.934,307.923
229,07013009,07,부추전,150,241.182,32.0115,0,9.5025,7.141500000000001,255.1605
230,07013010,07,야채전,100,194.94,24.971,0,8.78,4.946,322.923
231,07013011,07,파전,150,280.548,37.455,0,12.0375,7.726500000000001,337.998
232,07013012,07,호박부침개,100,130.722,8.671,0,9.235,3.37,172.027
233,07013013,07,호박전,150,215.283,16.557,0,14.4195,6.589500000000001,274.63050000000004
234,07014001,07,달걀말이,100,172.238,4.668,0,11.232,12.044,323.323
235,07014002,07,두부부침,100,134.88,4.288,0,8.755,9.922,199.833
236,07014003,07,두부전,150,253.89,8.078,0,18.025,18.655,500.528
237,08011001,08,건새우볶음,20,69.1858,4.813,2.70256,2.2963999999999998,7.221800000000002,193.088
238,08011002,08,낙지볶음,200,180.59000000000003,23.512,6.7,3,17.866000000000003,868.8839999999999
239,08011003,08,멸치볶음,20,69.225,5.693,3.4330800000000004,2.0423999999999998,6.9704000000000015,274.09599999999995
240,08011004,08,어묵볶음,150,281.5425,36.279,4.473000000000001,8.083499999999997,18.037499999999994,1283.8274999999999
241,08011005,08,오징어볶음,200,243.69600000000003,27.42,9.280000000000001,6.842,20.43199999999999,1025.86
242,08011006,08,오징어채볶음,20,55.7136,7.004600000000001,1.3477000000000001,0.6852,5.394000000000001,240.964
243,08011007,08,주꾸미볶음,200,211.81,21.692,6.7,6.11,20.156000000000002,969.8839999999999
244,08011008,08,해물볶음,400,420.52700000000004,36.5332,7.657,15.3178,37.483200000000004,1647.0188000000003
245,08012001,08,감자볶음,50,57.80300000000001,8.23,0.498,2.5335000000000005,1.3435,219.935
246,08012002,08,김치볶음,200,189.97000000000003,21.828000000000003,8.964,12.133999999999999,5.288,1513.4099999999996
247,08012003,08,깻잎나물볶음,200,212.392,17.328,0.2,16.372,8.032,1046.426
248,08012004,08,느타리버섯볶음,150,133.3185,14.216999999999999,0.15000000000000002,8.925,4.406999999999999,625.2510000000001
249,08012005,08,두부김치,250,292.42,13.84,0,21.315,19.147499999999997,1033.8500000000001
250,08012006,08,머위나물볶음,150,102.993,7.705500000000002,0,7.952999999999999,4.3035,696.9149999999998
251,08012007,08,양송이버섯볶음,150,132.4215,10.554,0,9.790500000000002,5.457000000000001,520.1145
252,08012008,08,표고버섯볶음,150,143.59499999999997,14.278500000000001,1.494,7.356000000000001,4.0095,563.5904999999999
253,08012009,08,고추잡채,200,264.218,22.106,8.4462,12.706,12.862000000000002,850.3079999999999
254,08012010,08,호박볶음,50,29.185000000000002,3.094,0,2.0060000000000002,0.7705000000000001,223.2785
255,08013001,08,돼지고기볶음,200,353.132,15.33,4.75,20.936000000000003,25.746,1060.3319999999999
256,08013002,08,돼지껍데기볶음,150,346.14450000000005,22.7265,15.843000000000002,19.228500000000004,22.3905,759.294
257,08013003,08,소세지볶음,200,476.04028999999997,28.805249999999997,5.830144,33.24425,17.03997,1409.04861
258,08013004,08,순대볶음,400,579.5559000000001,70.95935,14.2912,25.6102,17.58295,1379.5474000000002
259,08013005,08,오리불고기,250,559.93155,24.47235,4.0748999999999995,34.2465,38.16075,854.0740499999999
260,08013006,08,오삼불고기,200,356.93600000000004,21.461999999999996,7.4239999999999995,20.238,23.348,870.4
261,08014001,08,떡볶이,200,300.76000000000005,58.85399999999999,5.704,2.96,8.718,862.2299999999998
262,08014002,08,라볶이,200,266.0299999999999,41.13399999999999,6.356000000000001,9.588,7.959999999999999,836.2379999999999
263,08014003,08,마파두부,200,226.91509999999997,10.985800000000001,0.5680999999999999,12.013699999999995,16.852999999999994,647.4516000000002
264,09011001,09,가자미조림,300,301.29,20.337,5.994,6.9030000000000005,40.701,1621.2300000000002
265,09011002,09,갈치조림,100,99.385,5.494,0.5,3.916,10.675,463.82
266,09011003,09,고등어조림,250,459.3349999999999,10.960000000000003,1.4600000000000002,25.350000000000005,45.37249999999999,1177.955
267,09011004,09,꽁치조림,150,280.08820000000003,8.357999999999999,1.3943999999999999,16.6656,22.593200000000003,679.4171999999999
268,09011005,09,동태조림,250,270.6125,16.77,4.995,4.0925,39.032500000000006,1440.1749999999997
269,09011006,09,북어조림,100,184.581,15.656,2.9064,3.035,23.884,761.39
270,09011007,09,조기조림,300,378.2615,14.2419,1.45,16.263199999999998,41.4294,1682.8989999999994
271,09011008,09,코다리조림,100,146.67,4.574,0.5,5.616,18.458,433.18
272,09012001,09,달걀장조림,100,133.725,10.032,3.1713,6.395,8.751,636.605
273,09012002,09,메추리알장조림,100,205.08,7.358,2.4522,13.691,12.107,758.9
274,09013001,09,돼지고기메추리알장조림,50,62.969,3.14,0.83765,2.1065,7.6160000000000005,555.7849999999999
275,09013002,09,소고기메추리알장조림,50,61.21500000000001,3.446,0.999,2.211,6.672000000000001,608.295
276,09014001,09,고추조림,100,105.878,14.827,2.988,4.185,2.856,802.456
